Reference Type,"Authors, Primary",Title Primary,Periodical Full,Periodical Abbrev,Pub Year,Volume,Issue,Start Page,Other Pages,Keywords,Abstract,Notes,Personal Notes,"Authors, Secondary",Title Secondary,Edition,Publisher,Place Of Publication,"Authors, Tertiary","Authors, Quaternary","Authors, Quinary","Title, Tertiary",ISSN/ISBN,Availability,Author/Address,Accession Number,Language,Classification,Sub file/Database,Original Foreign Title,Links,URL,DOI,PMID,PMCID,Call Number,Database,Data Source,Identifying Phrase,Retrieved Date,Shortened Title,User 1,User 2,User 3,User 4,User 5,User 6,User 7,User 8,User 9,User 10,User 11,User 12,User 13,User 14,User 15
Journal Article,"Brittian,A. S.",Understanding African American adolescents' identity development: A relational developmental systems perspective,Journal of Black Psychology,J.Black Psychol.,2012,38,2,172,200, ,"This article examines the development of African American adolescents' identity using a relational developmental systems theory framework, which led to the expectation that identity development is linked to both the reduction of risk behaviors and the promotion of African American adolescents' healthy development. Different personological theories of identity development were discussed, including Erikson's theory of psychosocial development and Marcia's theory of identity statuses. Developmental systems theory was used to further the literature on African American adolescents' identity development, by integrating various views of identity development as they pertain to these youth. Furthermore, the formation of many aspects of identity may be an important coping and resilience process for such youth. In addition, directions for future research are discussed, including a consideration of the complexity of diversity that exists within the African American adolescent population, and a call for more longitudinal assessments of identity development is presented. Ã‚Â© The Author(s) 2012.",cited By 6; Scopus, ,, , , , ,,,, , , ,"Prevention Research Center, Psychology Department, Arizona State University, P.O. Box 876005, Tempe, AZ 85287-6005, United States", , , , , ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859598916&doi=10.1177%2f0095798411414570&partnerID=40&md5=2d7c920a206290e906a9e12ce7e7a5fc, ,10.1177/0095798411414570, , , , , , , , , , , , , , , , , , , , , , , 
Journal Article,"Bryant-Davis,T.;Wong,E. C.","Faith to Move Mountains: Religious coping, spirituality, and interpersonal trauma recovery",American Psychologist,Am.Psychol.,2013,68,8,675,684,Recovery;Religious coping;Spirituality;Trauma;Violence,"Interpersonal trauma is pervasive globally and may result in long-term consequences physically, cognitively, behaviorally, socially, and spiritually (Bryant-Davis, 2005b). One of the protective factors that have emerged in the literature is religious coping. Religious coping, spirituality, and faithbased approaches to trauma recovery include endorsement of beliefs, engagement in behaviors, and access to support from faith communities. Compared with negative religious coping, spirituality and positive religious coping have been associated with decreased psychological distress, a finding established with survivors of child abuse, sexual violence, intimate partner violence, community violence, and war. This article focuses on spiritual and religious coping among survivors of child abuse, sexual violence, and war; however, research demonstrates increased use of positive religious coping among some survivors with higher rates of posttraumatic stress disorder. Much of the scholarship in this area includes qualitative studies with populations who face increased vulnerability to interpersonal trauma. Research in this area covers the life span from childhood to later adulthood and encompasses both domestic and international studies. The implications of research findings are explored, and future research needs are described. This line of research supports the American Psychological Association (2010) ethical standards that note the recognition of spiritual and religious faith traditions as important aspects of the provision of ethical treatment. Researchers, clinicians, and advocates for trauma survivors are encouraged to attend to the faith traditions and beliefs of persons confronting the potential devastation of traumatic events. Â© American Psychological Association or one of its allied publishers.",Cited By :12, ,, , , , ,,,, , , ,"Affiliation: Graduate School of Education and Psychology, Pepperdine University, United States; Affiliation: RAND Corporation, Santa Monica, CA, United States", ,English, , , , ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890041060&doi=10.1037%2fa0034380&partnerID=40&md5=fd5ff7e8cc7d05aaaa180ea45b3dccd1,10.1037/a0034380, , , ,SCOPUS,Scopus, ,4 September 2017, , , , , , , , , , , , , , , , 
Journal Article,"Butson,Michael L.;Borkoles,Erika;Hanlon,Clare;Morris,Tony;Romero,Vivian;Polman,Remco",Examining the role of parental self-regulation in family physical activity: A mixed-methods approach,PSYCHOLOGY \& HEALTH}, ,2014,29,10,1137,1155, ,"Physical activity (PA) is essential for good health. However, parents risk becoming less active because of the demands of parenting. This has consequences for children as parents are role models. The present study used a mixed-methods approach to explore parental self-regulation associated with PA. Data were collected from 36 parents with preschool-aged children. They were interviewed about their PA and their family's PA. Parents also completed PA and self-regulation questionnaires and wore an accelerometer for five days. Qualitative data were examined using an inductive approach to thematic analysis. It showed that parents felt that they had limited time for personal PA. Mothers' self-regulation was driven by an ethic of care and subjective norms, whereas fathers' self-regulation was driven by beliefs about the importance of autonomy. Nevertheless, both parents saw caring for their children as the main priority. Quantitative data were examined using multiple regression analyses. Results showed that different self-regulatory behaviours predicted the PA of mothers and fathers. Which predictors were significant depended on the type of activity and how it was measured. The findings warrant longitudinal research that would enable the effect of family dynamics on self-regulation associated with PA to be assessed.}", , ,, , , , ,,,, ,0887-0446}, ,"Butson, ML (Reprint Author), Victoria Univ, Coll Sport \& Exercise Sci, Inst Sport Exercise \& Act Living, Melbourne, Vic 8001, Australia. Butson, Michael L.; Borkoles, Erika; Hanlon, Clare; Morris, Tony; Romero, Vivian; Polman, Remco, Victoria Univ, Coll Sport \& Exercise Sci, Inst Sport Exercise \& Act Living, Melbourne, Vic 8001, Australia.}", , , , , , , ,10.1080/08870446.2014.915969, , , , , , , , , , , , , , , , , , , , , , , 
Journal Article,"Carretero,M. J. E.;Toyos,N. G.;Barato,A. I. M.;Azarola,A. R.;Corral,O. P.;RodrÃ­guez,M. A. P.;Schwend,A. S.",Assessment of ethical and methodological aspects in a qualitative study with health care users in Paediatric Oncology,Empiria, ,2017, ,36,149,176,Arts-based research;Minors;Paediatric oncology;Qualitative research;Research ethics,"Background: In the context of a qualitative research with health care users in Paediatric Oncology and their family members, a self-assessment tool regarding ethical and methodological aspects of the study has been designed and implemented. Methods: Qualitative research with health care users in Paediatric Oncology and companions, in four hospitals from the Andalusian Public Healthcare System. Development and implementation of a self-assessment tool. Descriptive, semantic and pragmatic content analysis and triangulation conducted by the research team. Outcomes: The members of the research team highlight: 1. The usefulness of a cartoon-style Informed Consent form in a qualitative study with children, within a broader approach to research ethics, 2. The favourable assessment of the creative techniques, stressing the need for a differentiated application, and 3. The importance of reflecting on the experience of the research process. Conclusions: The application of a self-assessment tool is identified as a useful tool for evaluating ethical, methodological and self-reflective aspects in a qualitative study conducted with minors.", , ,, , , , ,,,, , , ,"Affiliation: Escuela Andaluza de Salud PÃºblica, Granada, Spain; Affiliation: CIBER de EpidemiologÃ­a y Salud PÃºblica (CIBERESP), Spain", ,Spanish, , ,ValoraciÃ³n de aspectos Ã©ticos y metodolÃ³gicos en un estudio cualitativo con personas usuarias de OncologÃ­a PediÃ¡trica, ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013469564&partnerID=40&md5=cf87c665c849d2aa5e91be6b2afbdac3, , , , ,SCOPUS,Scopus, ,4 September 2017, , , , , , , , , , , , , , , , 
Journal Article,"Case,Andrew D.;Todd,Nathan R.;Kral,Michael J.",Ethnography in Community Psychology: Promises and Tensions,AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY}, ,2014,54,1-2,60,71, ,"Community psychology recognizes the need for research methods that illuminate context, culture, diversity, and process. One such method, ethnography, has crossed into multiple disciplines from anthropology, and indeed, community psychologists are becoming community ethnographers. Ethnographic work stands at the intersection of bridging universal questions with the particularities of people and groups bounded in time, geographic location, and social location. Ethnography is thus historical and deeply contextual, enabling a rich, in-depth understanding of communities that is aligned with the values and goals of community psychology. The purpose of this paper is to elucidate the potential of ethnography for community psychology and to encourage its use within the field as a method to capture culture and context, to document process, and to reveal how social change and action occur within and through communities. We discuss the method of ethnography, draw connections to community psychology values and goals, and identify tensions from our experiences doing ethnography. Overall, we assert that ethnography is a method that resonates with community psychology and present this paper as a resource for those interested in using this method in their research or community activism.}", , ,, , , , ,,,, ,0091-0562}, ,"Case, AD (Reprint Author), Univ Illinois, Dept Psychol, 603 E Daniel St, Champaign, IL 61820 USA. Case, Andrew D.; Todd, Nathan R.; Kral, Michael J., Univ Illinois, Dept Psychol, Champaign, IL 61820 USA.}", , , , , , , ,10.1007/s10464-014-9648-0, , , , , , , , , , , , , , , , , , , , , , , 
Journal Article,"Cech,Erin A.",What fosters concern for inequality among American adolescents?,Social science research,Soc.Sci.Res.,2017,61, ,160,180,Beliefs about inequality;Adolescents;Underdog thesis;Intergroup contact;Education enlightens;Ideological buttressing,"Abstract Understanding cultural beliefs about social and economic inequality is vital to discerning the roadblocks and pathways to addressing that inequality. The foundation of concern for inequality is laid during adolescence, yet scholars understand little about the factors that influence whether and how adolescents come to express such concern. Arguing that structural and cultural contexts are just as consequential as whether adolescents themselves are members of disadvantaged groups, I draw on four theoretical perspectives to identify factors that influence adolescentsâ€™ concern for addressing inequality: the underdog thesis, intergroup contact theory, the education enlightens thesis, and ideological buttressing. Using representative restricted-use Educational Longitudinal Survey data, I find that 12th-gradersâ€™ beliefs are indeed influenced by more than their own demography: the diversity of their social milieu, the content of education in and out of the classroom, and ideological buttressing via political region and entertainment all influence whether they express concern for addressing inequality. These findings suggest extensions and amendments to the four theoretical perspectives and underscore the importance of studying structural and cultural factors that shape beliefs about inequality. The results also point to several interventions that may increase studentsâ€™ concern for inequality: involvement in civic-oriented extracurricular activities, more education in academic subjects that consider inequality, nurturing of cross-race friendships, and increased leisure reading.", , ,, , , , ,,,, ,0049-089X, , , , , , , , ,http://www.sciencedirect.com/science/article/pii/S0049089X16303234,https://doi.org/10.1016/j.ssresearch.2016.06.009, , , , ,ScienceDirect, , , , , , , , , , , , , , , , , , 
Journal Article,"Cherry,Robert;Wang,Chun","The link between male employment and child maltreatment in the U.S., 2000â€“2012",Children and Youth Services Review, ,2016,66, ,117,122,Child maltreatment rates;Male employment rates;Poverty;Single headed households,"Abstract Child maltreatment rates are strongly linked to adult male behavior, suggesting that labor market conditions, by influencing male behaviors, can influence maltreatment rates. Using the unemployment rate as the sole measure of labor market conditions, past studies generally conclude that employment conditions do not systematically influence child maltreatment rates. By contrast, this study found that state-level child maltreatment rates were statistically significant and inversely related to the state-level employment rates of men, aged 20 to 34 yrs old. It also found that the interaction of child poverty and living in a single-parent household is positively related to child maltreatment rates. Policies to reduce employment problems are discussed.", , ,, , , , ,,,, ,0190-7409, , , , , , , , ,http://www.sciencedirect.com/science/article/pii/S0190740916301529,https://doi.org/10.1016/j.childyouth.2016.05.008, , , , ,ScienceDirect, , , , , , , , , , , , , , , , , , 
Journal Article,"Cuffari,Elena C.",Keep meaning in conversational coordination,FRONTIERS IN PSYCHOLOGY}, ,2014,5, , , , ,"Coordination is a widely employed term across recent quantitative and qualitative approaches to intersubjectivity, particularly approaches that give embodiment and enaction central explanatory roles. With a focus on linguistic and bodily coordination in conversational contexts, I review the operational meaning of coordination in recent empirical research and related theorizing of embodied intersubjectivity. This discussion articulates what must be involved in treating linguistic meaning as dynamic processes of coordination. The coordination approach presents languaging as a set of dynamic self-organizing processes and actions on multiple timescales and across multiple modalities that come about and work in certain domains (those jointly constructed in social, interactive, high-order sense-making). These processes go beyond meaning at the level that is available to first-person experience. I take one crucial consequence of this to be the ubiquitously moral nature of languaging with others. Languaging coordinates experience, among other levels of behavior and event. Ethical effort is called for by the automatic autonomy-influencing forces of languaging as coordination.}", , ,, , , , ,,,, ,1664-1078}, ,"Cuffari, EC (Reprint Author), Worcester State Univ, Dept Philosophy, S-316,486 Chandler St, Worcester, MA 01606 USA. Worcester State Univ, Dept Philosophy, Worcester, MA 01606 USA.}", , , , , , , ,10.3389/fpsyg.2014.01397, , , , , , , , , , , , , , , , , , , , , , , 
Journal Article,"De Simone,Gianfranco",Render unto primary the things which are primary's: Inherited and fresh learning divides in Italian lower secondary education,Economics of Education Review, ,2013,35, ,12,23,Cognitive achievement dynamics;Achievement gap;TIMSS;pseudo-panel,"Abstract We employ a pseudo-panel approach to link the achievements of the same cohort of Italian students over two waves of the Trends in International Mathematics and Science Study. As we investigate the determinants of learning divides in math and science at the end of the lower secondary school (grade 8), we are able to tackle cumulative effects of education by controlling for the estimated prior score (grade 4). We find that the gender gap in math observed at grade 8 should actually be ascribed to primary education, while both school levels contribute to the emergence of the girlsâ€™ gap in science. In both subject, lower secondary schools are responsible for the largest part of the learning divide due to family background. On the other hand, foreign-origin students show a remarkable recovery at the lower secondary school, once their entry-level of competence is taken into account.", , ,, , , , ,,,, ,0272-7757, , , , , , , , ,http://www.sciencedirect.com/science/article/pii/S0272775713000459,https://doi.org/10.1016/j.econedurev.2013.03.002, , , , ,ScienceDirect, , , , , , , , , , , , , , , , , , 
Journal Article,"DeCou,Christopher R.;Skewes,Monica C.;Lopez,Ellen D. S.;Skanis,Marie L.",The Benefits of Discussing Suicide With Alaska Native College Students: Qualitative Analysis of In-Depth Interviews,CULTURAL DIVERSITY \& ETHNIC MINORITY PSYCHOLOGY}, ,2013,19,1,67,75, ,"Suicide represents a significant health disparity for communities in rural Alaska, and has implications for mental health among people who have lost loved ones from suicide. A qualitative interview study was conducted to examine the ways in which suicide has affected the lives of college students who have migrated from rural villages to an urban", , ,, , , , ,,,, ,1099-9809}, ,"DeCou, CR (Reprint Author), Idaho State Univ, Dept Psychol, 921 S 8th Ave,Stop 8112, Pocatello, ID 83209 USA. DeCou, Christopher R.; Skewes, Monica C.; Lopez, Ellen D. S.; Skanis, Marie L., Univ Alaska Fairbanks, Dept Psychol, Fairbanks, AK USA. DeCou, Christopher R.; Skewes, Monica C.; Lopez, Ellen D. S.; Skanis, Marie L., Univ Alaska Fairbanks, Ctr Alaska Native Hlth Res, Fairbanks, AK USA.}", , , , , , , ,10.1037/a0030566, , , , , , , , , , , , , , , , , , , , , , , 
Journal Article,"Desai,Miraj U.",Travel as Qualitative Method: Travel in Psychology's History and in Medard Boss' Sojourn to India,JOURNAL OF HUMANISTIC PSYCHOLOGY}, ,2014,54,4,494,507, ,"This article details the history, possibility, limits, and ethics of cross-cultural travel as a qualitative method in psychology. The article provides a brief overview of the ambiguous relationship between psychology and culture and develops an account of the history of travel methods in psychology. It then analyzes an exemplary case of travel research involving Medard Boss' sojourn to India and his encounters with Indian sages. This article argues that the history of psychology is, in many ways, a history of the exiled, the dispossessed, and the traveler (e.g., Freud, Fromm, Fanon, Jahoda, Rogers, Jung, and others). The article concludes with reflections on using travel methods in an increasingly globalized world and in an ecologically sensitive way.}", , ,, , , , ,,,, ,0022-1678}, ,"Desai, MU (Reprint Author), VA Connecticut Healthcare Syst MIRECC, 950 Campbell Ave,151 D, West Haven, CT 06516 USA. Desai, Miraj U., Vet Affairs New England MIRECC, West Haven, CT USA. Desai, Miraj U., Yale Univ, Sch Med, Dept Psychiat, New Haven, CT USA. Desai, Miraj U., Sangath Ctr, Porvorim, Goa, India.}", , , , , , , ,10.1177/0022167813517942, , , , , , , , , , , , , , , , , , , , , , , 
Journal Article,"Earnshaw,V. A.;Bogart,L. M.;Dovidio,J. F.;Williams,D. R.",Stigma and racial/ethnic HIV disparities: Moving toward resilience,American Psychologist,Am.Psychol.,2013,68,4,225,236, ,"Prior research suggests that stigma plays a role in racial/ ethnic health disparities. However, there is limited understanding about the mechanisms by which stigma contributes to HIV-related disparities in risk, incidence and screening, treatment, and survival and what can be done to reduce the impact of stigma on these disparities. We introduce the Stigma and HIV Disparities Model to describe how societal stigma related to race and ethnicity is associated with racial/ethnic HIV disparities via its manifestations at the structural level (e.g., residential segregation) as well as the individual level among perceivers (e.g., discrimination) and targets (e.g., internalized stigma). We then review evidence of these associations. Because racial/ ethnic minorities at risk of and living with HIV often possess multiple stigmas (e.g., HIV-positive, substance use), we adopt an intersectionality framework and conceptualize interdependence among co-occurring stigmas. We further propose a resilience agenda and suggest that intervening on modifiable strength-based moderators of the association between societal stigma and disparities can reduce disparities. Strengthening economic and community empowerment and trust at the structural level, creating common ingroup identities and promoting contact with people living with HIV among perceivers at the individual level, and enhancing social support and adaptive coping among targets at the individual level can improve resilience to societal stigma and ultimately reduce racial/ethnic HIV disparities. Ã‚Â© 2013 American Psychological Association.",cited By 73; Scopus, ,, , , , ,,,, , , ,"Center for Interdisciplinary Research on AIDS, Yale University, United States; Division of General Pediatrics, Department of Medicine, Boston Children's Hospital, Boston, MA, United States; Department of Pediatrics, Harvard Medical School, Harvard University, United States; Department of Psychology, Yale University, United States; Department of African and African American Studies and School of Public Health, Harvard University, United States", , , , , ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880966330&doi=10.1037%2fa0032705&partnerID=40&md5=0b52ac1470d357a1878067160cb1c6df, ,10.1037/a0032705, , , , , , , , , , , , , , , , , , , , , , , 
